Inglés,Which one is animal?,car,tree,dog,house,C,facil
Inglés,Which is a fruit?,apple,car,Banana,dog,A,facil
Inglés,What is the plural of “mouse”?,mouses,mice,mouse,mooses,B,medio
Inglés,What is the plural of “child”?,childs,children,childes,child,B,medio
Inglés,What is the past tense of “go”?,goed,goes,went,going,C,medio
Inglés,What is the opposite of “happy”?,sad,angry,content,fast,A,facil
Inglés,What does “translate” mean?,to change language,to write,to talk,to draw,A,medio
Inglés,What does “before” mean?,after,before,below,above,B,facil
Inglés,What color is the sky?,red,green,blue,yellow,C,medio
Inglés,What color is the sky?,blue,green,red,yellow,A,medio
Inglés,Translate “perro” to English:,dog,cat,bird,horse,A,facil
Inglés,How do you greet someone?,Bye,Gracias,Hello,Adiós,C,facil
Inglés,How do you greet in English?,Hola,Hello,Adiós,Thanks,B,facil
Inglés,Choose the correct word: The cat ___ on the mat.,sit,sits,sittting,sat,B,facil
Inglés,Choose the correct past tense of “run”:,runned,ran,running,run,B,medio
Inglés,Choose the correct form: She ___ every day.,go,goes,going,went,B,facil