Matemáticas,Área de triángulo base 6 altura 4:,12,24,10,18,A,medio
Matemáticas,Área de triángulo base 10 altura 6:,30,60,50,40,A,medio
Matemáticas,Área de rectángulo base 5 altura 3:,8,15,10,12,B,facil
Matemáticas,Área de rectángulo base 12 altura 5:,60,55,65,70,A,facil
Matemáticas,Área de círculo radio 3 (π≈3.14):,18.84,28.26,9.42,12.56,B,dificil
Matemáticas,¿Cuánto es 6³?,36,216,108,18,B,medio
Matemáticas,¿Cuánto es 5³?,15,75,125,25,C,facil
Matemáticas,¿Cuánto es 4³?,16,64,32,12,B,facil
Matemáticas,¿Cuánto es 3⁴?,27,81,64,9,B,medio
Matemáticas,¿Cuánto es 32 × 4?,128,124,132,140,A,facil
Matemáticas,¿Cuánto es 2^4?,8,12,16,20,C,facil
Matemáticas,¿Cuánto es 24 × 3?,62,72,84,96,B,facil
Matemáticas,¿Cuánto es 18 × 5?,80,85,90,95,C,facil
Matemáticas,¿Cuánto es 15 × 4?,45,60,55,75,B,facil
Matemáticas,¿Cuál número es primo?,9,15,17,21,C,medio
Matemáticas,¿Cuál es la raíz cuadrada de 400?,18,19,20,21,C,facil
Matemáticas,¿Cuál es la raíz cuadrada de 324?,16,17,18,19,C,medio
Matemáticas,¿Cuál es la raíz cuadrada de 256?,14,15,16,18,C,medio
Matemáticas,¿Cuál es la raíz cuadrada de 225?,12,13,14,15,D,medio
Matemáticas,¿Cuál es la raíz cuadrada de 196?,12,13,14,15,C,medio
Matemáticas,¿Cuál es la raíz cuadrada de 144?,10,11,12,13,C,facil
Matemáticas,¿Cuál es la raíz cuadrada de 121?,9,10,11,12,C,medio
Matemáticas,¿Cuál es la ecuación de una recta horizontal?,y = mx + b,x = m,y = b,x = 0,C,medio
Matemáticas,¿Cuál es el valor de 2³?,6,8,4,16,B,facil
Matemáticas,¿Cuál es el valor de 12 × 7?,79,82,84,86,C,facil
Matemáticas,¿Cuál es el resultado de 9 × 6?,54,63,56,49,A,facil
Matemáticas,¿Cuál es el resultado de 7 × 8?,49,56,63,72,B,facil
Matemáticas,¿Cuál es el resultado de 15 - 4 × 3?,3,9,12,15,B,medio
Matemáticas,¿Cuál es el porcentaje equivalente a 0.75?,75%,7.5%,0.75%,750%,A,facil
Matemáticas,¿Cuál es el perímetro de un rectángulo de lados 4 y 7?,18,22,24,20,B,medio
Matemáticas,Si x-4=10 entonces x=?,12,14,16,6,B,facil
Matemáticas,Si x-15=20 entonces x=?,30,35,40,25,B,facil
Matemáticas,Si x+9=20 entonces x=?,9,10,11,12,C,facil
Matemáticas,Si x+7=15 entonces x=?,6,7,8,9,C,facil
Matemáticas,Si x+25=40 entonces x=?,10,12,15,20,C,facil
Matemáticas,Si 9x = 81 entonces x = ?,7,8,9,10,C,facil
Matemáticas,Si 7x = 56 entonces x = ?,6,7,8,9,C,facil
Matemáticas,Si 5x = 45 entonces x = ?,5,8,9,10,C,facil
Matemáticas,Si 3/4 + 2/3 = ?,1 5/12,1 3/4,2 1/12,1 1/12,A,dificil
Matemáticas,Si 2x + 3 = 11 entonces x = ?,2,3,4,5,C,facil
Matemáticas,Si 15x = 150 entonces x = ?,5,8,10,12,C,facil
Matemáticas,Si 12x = 144 entonces x = ?,10,11,12,13,C,facil
Matemáticas,Resultado de 60 ÷ 12 + 9:,14,13,12,11,A,medio
Matemáticas,Resultado de 50 ÷ 10 + 8:,10,12,13,15,C,medio
Matemáticas,Resultado de 40 ÷ 8 + 6:,11,10,8,12,A,medio
Matemáticas,Resultado de 25 ÷ 5 + 3:,8,5,10,7,A,medio
Matemáticas,Resuelve: 9 − (3 × 2) = ?,9,3,6,12,C,facil
Matemáticas,Resuelve: 18 ÷ 3 + 4,10,12,8,6,A,medio
Matemáticas,Perímetro de cuadrado lado 8:,24,32,16,64,B,facil
Matemáticas,La suma de 5/6 + 1/3 es:,1,1 1/2,1 1/3,1 2/3,D,medio
Matemáticas,La fracción equivalente a 1/2 es:,2/3,3/6,4/10,5/12,B,medio
Matemáticas,Fracción equivalente a 6/9:,2/3,3/4,4/6,5/8,A,medio
Matemáticas,Fracción equivalente a 5/8:,10/16,15/24,20/30,25/40,A,medio
Matemáticas,Fracción equivalente a 4/6:,2/3,3/4,8/12,12/18,A,medio
Matemáticas,Fracción equivalente a 3/5:,6/10,9/20,12/25,15/20,A,medio
Matemáticas,El perímetro de un cuadrado de lado 5 es:,15,20,25,30,B,facil
Matemáticas,El 30% de 200 es:,40,50,60,70,C,medio
Matemáticas,El 25% de 400 es:,50,75,100,125,C,medio
Matemáticas,El 20% de 150 es:,25,30,35,40,B,medio
Matemáticas,El 15% de 300 es:,30,35,40,45,D,medio
Matemáticas,El 10% de 450 es:,40,45,50,55,B,medio
Matemáticas,"¿Qué número sigue en la serie 5,10,15,20, _ ?",22,25,30,24,B,facil
Matemáticas,"¿Qué número continúa en la serie: 2, 4, 8, 16, _?",24,32,30,20,B,medio
Matemáticas,"¿Cuál es la media de estos números: 4, 8, 10?",6,7,8,9,B,medio
Matemáticas,"Si una recta tiene pendiente 2 y pasa por (0,1), su ecuación es:",y=2x+1,y=x+2,y=2x-1,y=1x+2,A,medio
Matemáticas,"Si m/n=3/4 y n=8, entonces m = ?",3,6,9,12,B,medio
Matemáticas,"Si aumentas un número en 25%, lo estás multiplicando por:",1.05,1.25,1.5,1.75,B,medio
Matemáticas,"Si 3x = 27, entonces x = ?",7,8,9,10,C,facil
Matemáticas,"Ecuación recta pendiente 7 que pasa por (0,5):",y=7x+5,y=5x+7,y=7x-5,y=5x-7,A,medio
Matemáticas,"Ecuación recta pendiente 6 que pasa por (0,4):",y=6x+4,y=4x+6,y=6x-4,y=4x-6,A,medio
Matemáticas,"Ecuación de recta pendiente 5 que pasa por (0,2):",y=5x+2,y=2x+5,y=5x-2,y=2x-5,A,medio
Matemáticas,"Ecuación de recta pendiente 4 que pasa por (0,3):",y=4x+3,y=3x+4,y=4x-3,y=3x-4,A,medio